"Symbol: ZCY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1996-08-01,ZCY00,443,502.75,395.5,395.5,-53.75,104577,298967
1996-09-01,ZCY00,381.5,415,316.75,316.75,-78.75,118344,302161
1996-10-01,ZCY00,317,325.75,273.5,273.5,-43.25,124273,326420
1996-11-01,ZCY00,270.5,283.75,267,279.75,6.25,151474,332810
1996-12-01,ZCY00,275.75,277,266.5,268.25,-11.5,102150,306189
1997-01-01,ZCY00,266.5,282,258.25,275.25,7,103874,305855
1997-02-01,ZCY00,275.5,301.75,269,301.75,26.5,156102,347392
1997-03-01,ZCY00,306.75,313.25,294.5,310,8.25,168901,382465
1997-04-01,ZCY00,313,313,294.875,300.75,-9.25,163653,352060
1997-05-01,ZCY00,304.25,304.25,273.75,282.25,-18.5,122516,290382
1997-06-01,ZCY00,285.5,289,251.25,252,-30.25,128741,274842
1997-07-01,ZCY00,247,274.5,245.25,274.5,22.5,138882,267370
1997-08-01,ZCY00,277.5,286.75,258.25,279.75,5.25,126723,281391
1997-09-01,ZCY00,288.75,288.75,267.75,267.75,-12,97350,307470
1997-10-01,ZCY00,266.25,308.25,266.25,283.25,15.5,147181,376963
1997-11-01,ZCY00,290.25,290.25,278.25,279.5,-3.75,150986,379045
1997-12-01,ZCY00,280,281.5,263,269,-10.5,117592,329558
1998-01-01,ZCY00,266.75,284,260.75,277,8,123917,327680
1998-02-01,ZCY00,281,281,268.25,270.25,-6.75,135739,342805
1998-03-01,ZCY00,275.25,287.75,259,259,-11.25,130352,358221
1998-04-01,ZCY00,257.5,259,248.25,254.25,-4.75,153123,366929
1998-05-01,ZCY00,254,265,245,245.25,-9,114356,337752
1998-06-01,ZCY00,244.75,264.5,236.75,248.25,3,160153,327245
1998-07-01,ZCY00,241.75,246,215.5,215.5,-32.75,128655,296805
1998-08-01,ZCY00,208.5,209.5,182.25,182.25,-33.25,116791,317655
1998-09-01,ZCY00,182.25,210.5,182.25,199,16.75,105620,321858
1998-10-01,ZCY00,198.75,218,198.75,211,12,119938,332336
1998-11-01,ZCY00,209.75,227,209.75,227,16,120903,342875
1998-12-01,ZCY00,225.5,225.5,212.75,213.25,-13.75,92508,321924
1999-01-01,ZCY00,220.75,229.75,216.75,217.5,4.25,105877,357473
1999-02-01,ZCY00,220.75,224.25,207.25,207.25,-10.25,146076,363083
1999-03-01,ZCY00,211.75,229,211.75,221,13.75,125229,357126
1999-04-01,ZCY00,217.5,230.5,209.75,214.25,-6.75,140170,343478
1999-05-01,ZCY00,221,224.75,212.5,217.5,3.25,97510,338516
1999-06-01,ZCY00,214.25,221.25,208,208.25,-9.25,145218,323660
1999-07-01,ZCY00,200.25,200.25,173.75,183.25,-25,162661,329463
1999-08-01,ZCY00,195.25,212.25,193.5,203.25,20,151797,315858
1999-09-01,ZCY00,205,209.25,191.75,194.25,-9,107801,316247
1999-10-01,ZCY00,191.25,193.75,186.75,190.5,-3.75,104401,410955
1999-11-01,ZCY00,189.25,199.25,188.25,195,4.5,142938,461036
1999-12-01,ZCY00,198.75,204.75,192.75,204.5,9.5,81487,389187
2000-01-01,ZCY00,200.75,219.5,200.75,212,7.5,150215,445998
2000-02-01,ZCY00,214,219.5,210,215,3,158093,478891
2000-03-01,ZCY00,215,231.75,215,229,14,148966,482079
2000-04-01,ZCY00,227.25,228.5,218.25,225,-4,145923,487757
2000-05-01,ZCY00,240,243.75,220.25,221,-4,162700,476890
2000-06-01,ZCY00,223.5,227,180.75,180.75,-40.25,166429,445018
2000-07-01,ZCY00,175.75,178,167.25,167.25,-13.5,117827,391966
2000-08-01,ZCY00,166.75,176.25,161.75,176.25,9,107325,388982
2000-09-01,ZCY00,174.25,182.75,166.25,182.75,6.5,106771,356619
